"Company Name","Website","Email","Additional Emails","Phone","Tags"
"Mustard","https://www.tastingtable.com/929918/mustard-crusted-rack-of-lamb-recipe/","staff@tastingtable.com","","+10772036939","restaurants in long beach"
"Restaurants in Long Beach","https://www.visitlongbeach.com/food-drink/restaurants/","info@longbeachcvb.org","info@visitlb.com","+11181920306","restaurants in long beach"
"What Makes Roman","https://www.tastingtable.com/937901/what-makes-roman-style-pizza-unique/","staff@tastingtable.com","","+10772036939","restaurants in long beach"
"Static Media","https://www.static.com/","","","+18082376047","restaurants in long beach"
"Custom Vegan Cakes in Long Beach, CA","https://www.sanandwolves.com/cake","info@sanandwolves.com","13e49d785d8d4f828038b6136f3b48ba@sentry.io","+19663841088","restaurants in long beach"
"Advertise with Static Media","https://static.com/advertise","","","+11748470836","restaurants in long beach"
"Boston Archives","https://restaurantobserver.com/tag/boston/","","","+11445203416","restaurants in long beach"
"Accessibility","https://www.voxmedia.com/legal/accessibility","accessibility@voxmedia.com","","+11561774335","restaurants in long beach"
"ALIVE","https://localemagazine.com/what-to-do-in-southern-california/what-to-do-in-orange-county/","","","+16927534270","restaurants in long beach"
"The World Famous Reno Room is located on the corner of Broadway and Redondo in the heart of Belmont... 3400 E Broadway, Long Beach, CA 90803.","https://www.therenoroom.com/","renoroom@ymail.com","","+15624384590","restaurants in long beach"
"New Orleans Archives","https://restaurantobserver.com/category/hot-cities/new-orleans/","","","+11445203416","restaurants in long beach"
