"Company Name","Website","Email","Additional Emails","Phone","Source","Tags"
"You enter a sit down Mexican restaurant in your area. The chips and salsa situation is...","https://www.resetera.com/threads/you-enter-a-sit-down-mexican-restaurant-in-your-area-the-chips-and-salsa-situation-is.1119690/page-4","","","+11742060203","Direct","restaurants in long beach california"
"Does it upset you when the back of the restaurant menu is blank?","https://www.resetera.com/threads/does-it-upset-you-when-the-back-of-the-restaurant-menu-is-blank.1227192/page-2","","","+11752900003","Direct","restaurants in long beach california"
"Anyone else feel like more and more local restaurants have been dropping off of Doordash and Grubhub?","https://www.resetera.com/threads/anyone-else-feel-like-more-and-more-local-restaurants-have-been-dropping-off-of-doordash-and-grubhub.683389/","","","+13174227732","Direct","restaurants in long beach california"
"Bay Area restaurants are vetting your social media before you even walk in","https://www.resetera.com/threads/bay-area-restaurants-are-vetting-your-social-media-before-you-even-walk-in.1243065/","","","+11752505265","Direct","restaurants in long beach california"
"London Restaurant asked Tommy Robinson (Far right English person) to leave after staff 'felt uncomfortable'","https://www.resetera.com/threads/london-restaurant-asked-tommy-robinson-far-right-english-person-to-leave-after-staff-felt-uncomfortable.1211727/","","","+11752900003","Direct","restaurants in long beach california"
"Bay Area restaurants are vetting your social media before you even walk in","https://www.resetera.com/threads/bay-area-restaurants-are-vetting-your-social-media-before-you-even-walk-in.1243065/page-2","","","+11752527739","Direct","restaurants in long beach california"
"McDonald’s Gives Its Restaurants an AI Makeover","https://www.resetera.com/threads/mcdonald%E2%80%99s-gives-its-restaurants-an-ai-makeover.1126623/","","","+13173348445","Direct","restaurants in long beach california"
"Why would tips be tied to the cost of the meal?","https://www.resetera.com/threads/why-would-tips-be-tied-to-the-cost-of-the-meal.633002/","","","+11663356260","Direct","restaurants in long beach california"
"Stephen Miller and Kristi Noem were enraged after learning the agriculture secretary had tried to persuade Trump to not target migrant farm labor.","https://www.threads.com/@thedailybeast/post/DLAV-TBoyN6?xmt=AQF0Hoi9tR5KzRvZyzPkH6bTnGeS9dDokh8-sG0PsAw1KA","","","+10832147598","From Aggregator","restaurants in long beach california"
"Men, Where Have You Gone? Please Come Back. (Article/Modern Love/NYTimes)","https://www.resetera.com/threads/men-where-have-you-gone-please-come-back-article-modern-love-nytimes.1226175/","","","+11750708243","Direct","restaurants in long beach california"
"Adding a dice bot and new logos","https://www.resetera.com/threads/adding-a-dice-bot-and-new-logos.1225890/","","","+13174844686","From Aggregator","restaurants in long beach california"
"ThemeHouse — Digital Platform Architects","https://www.themehouse.com/?utm_source=www.resetera.com&utm_medium=xf2product&utm_campaign=product_branding","01c3d1691a1944af98c751858e05441f@sentry.audent.io","","","From Aggregator","restaurants in long beach california"
