"Company Name","Website","Email","Additional Emails","Phone","Source","Tags"
"Long Beach's Waterfront Restaurant","https://www.boathouseonthebay.com/","office@boathouseonthebay.com","","+17786413161","Direct","log beach california restaurant"
"The 18 Best Korean BBQ Spots In LA","https://www.tastingtable.com/1168446/the-best-korean-bbq-spots-in-la/","staff@tastingtable.com","","+10083523505","From Aggregator","log beach california restaurant"
"Restaurants in Long Beach","https://www.visitlongbeach.com/food-drink/restaurants/","info@longbeachcvb.org","info@visitlb.com","+11712330700","Direct","log beach california restaurant"
"What Is Soju?","https://www.tastingtable.com/694438/what-is-soju-how-to-drink/","staff@tastingtable.com","","+10083523505","From Aggregator","log beach california restaurant"
"Where to eat in Long Beach, California","https://www.visitcalifornia.com/experience/dining-long-beach/","","","+13212470133","Direct","log beach california restaurant"
"Static Media","https://www.static.com/","","","+12992417405","From Aggregator","log beach california restaurant"
"Static Media®","https://www.static.com/terms","","","+11748470836","From Aggregator","log beach california restaurant"
"Istanbul Souvenir & Specialty Shop","https://shorelinevillage.com/shopping/istanbul-home/","","","+10666666666","From Aggregator","log beach california restaurant"
"Fine Dining at Waterfront Restaurants","https://shorelinevillage.com/dine/fine-dining/","","","+10666666666","From Aggregator","log beach california restaurant"
"Cookie Policy","https://www.voxmedia.com/legal/cookie-policy","vmprivacy@voxmedia.com","","+14461973837","From Aggregator","log beach california restaurant"
"AMMATOLI","http://www.ammatoli.com/","info@ammatoli.com","","+13333333333","From Aggregator","log beach california restaurant"
"Shoreline Village Shops","https://shorelinevillage.com/shopping/aqcua/","aqcuabeachhouse@gmail.com","","+10666666666","From Aggregator","log beach california restaurant"
"Accessibility Statement","https://travellemming.com/accessibility/","","","+13400061502","From Aggregator","log beach california restaurant"
"Sky Room Fine Dining Restaurant","https://www.fairmont-breakers.com/dine/sky-room/","","","+14895735203","From Aggregator","log beach california restaurant"
